ALLSKY_SFC_SW_DWN (Wh/m^2),Solar Zenith Angle (Degrees) ,Solar Zenith Angle (Degrees) REMOVED IF >85º,optimiced_moving_solar_ALLSKY_SFC_SW_DWN (Wh/m^2)
44.86,84.91,84.91,505.633123
144.47,78.01,78.01,695.4333606
262.28,72.68,72.68,880.9971017
332.55,69.45,69.45,947.3693697
320.43,68.63,68.63,879.3618733
304.58,70.34,70.34,905.3082149
230.77,74.37,74.37,856.5306694
120.33,80.34,80.34,717.0986191
23.33,87.57,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
22.52,84.68,84.68,242.886627
43.91,77.79,77.79,207.6168239
82.2,72.44,72.44,272.4521408
97.56,69.19,69.19,274.6079558
124.99,68.37,68.37,339.0834441
120.74,70.06,70.06,354.038961
86.38,74.1,74.1,315.3024031
38.28,80.08,80.08,222.2055074
21.71,87.38,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
53.55,84.44,84.44,552.6995899
45.8,77.55,77.55,212.4426918
105.98,72.19,72.19,346.4967233
126.59,68.92,68.92,351.9604204
128.56,68.09,68.09,344.5265932
100.43,69.79,69.79,290.7121548
99.28,73.83,73.83,356.4961779
47.93,79.81,79.81,270.9241831
17.98,87.17,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
55.2,84.18,84.18,544.3595334
163.38,77.32,77.32,744.308808
258.59,71.93,71.93,833.6807186
317.11,68.65,68.65,871.0278215
333.37,67.8,67.8,882.3028419
301.84,69.51,69.51,862.2918543
255.76,73.55,73.55,903.1758846
92.99,79.55,79.55,512.6878968
33.99,86.95,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
35.52,83.91,83.91,334.8084101
97.95,77.08,77.08,438.0779241
162.12,71.67,71.67,515.5020567
244.73,68.38,68.38,664.2166068
266.88,67.52,67.52,697.9792914
146.19,69.22,69.22,412.0574509
106.03,73.27,73.27,368.3362229
51.21,79.28,79.28,275.3083702
17.41,86.73,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
44.66,83.62,83.62,401.9004872
118.11,76.83,76.83,518.3876545
182.12,71.41,71.41,571.2782053
209.41,68.09,68.09,561.1956586
176.64,67.23,67.23,456.3953716
160.91,68.93,68.93,447.5835897
111.99,72.99,72.99,382.8212665
45.62,79.02,79.02,239.5173977
18.8,86.5,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
79.53,83.34,83.34,685.7373751
197.91,76.58,76.58,852.7389056
286.27,71.13,71.13,885.1283953
304.79,67.8,67.8,806.6625167
259.73,66.94,66.94,663.0926865
161.45,68.63,68.63,443.0701696
124.14,72.71,72.71,417.6869497
68.34,78.74,78.74,349.9921929
18.88,86.26,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
57.62,83.02,83.02,474.1494259
139.86,76.32,76.32,591.3767152
229.2,70.85,70.85,698.6901741
282.15,67.51,67.51,737.6042891
291.16,66.63,66.63,734.0156329
271.16,68.34,68.34,734.6558161
201.64,72.42,72.42,667.6000044
118.05,78.47,78.47,590.6014243
35.84,86.01,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
77.69,82.7,82.7,611.4212357
182.3,76.05,76.05,756.1960137
297.32,70.57,70.57,893.7789567
368.06,67.21,67.21,950.1885847
385.65,66.33,66.33,960.5989253
341.68,68.04,68.04,913.6825481
267.09,72.12,72.12,869.930774
169.25,78.2,78.2,827.6443407
33.16,85.74,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
41.54,82.37,82.37,312.8592267
188.16,75.78,75.78,765.9810266
281.91,70.28,70.28,835.4773402
321.61,66.91,66.91,820.0642858
322.85,66.02,66.02,794.3797122
260.7,67.73,67.73,687.91422
142.23,71.84,71.84,456.3456638
94.86,77.91,77.91,452.9049851
25.64,85.47,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6.11,89.35,0,0
45.27,82.67,82.67,354.825207
117.5,75.51,75.51,469.6036046
206.15,69.99,69.99,602.4533946
